Country ISO,Country,Section,Question,Description,Value,Unit
AUS,Australia,Age Group,Q1. Age 15-17,Respondents aged 15-17,0,%
AUS,Australia,Age Group,Q1. Age 18-35,Respondents aged 18-35,31.15,%
AUS,Australia,Age Group,Q1. Age 36-59,Respondents aged 36-59,39.45,%
AUS,Australia,Age Group,Q1. Age 60+,Respondents aged 60+,29.4,%
BGD,Bangladesh,Age Group,Q1. Age 15-17,Respondents aged 15-17,8.49,%
BGD,Bangladesh,Age Group,Q1. Age 18-35,Respondents aged 18-35,43.16,%
BGD,Bangladesh,Age Group,Q1. Age 36-59,Respondents aged 36-59,35.36,%
BGD,Bangladesh,Age Group,Q1. Age 60+,Respondents aged 60+,12.99,%
BRA,Brazil,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.25,%
BRA,Brazil,Age Group,Q1. Age 18-35,Respondents aged 18-35,34.36,%
BRA,Brazil,Age Group,Q1. Age 36-59,Respondents aged 36-59,41.09,%
BRA,Brazil,Age Group,Q1. Age 60+,Respondents aged 60+,19.31,%
CHN,China,Age Group,Q1. Age 15-17,Respondents aged 15-17,4.2,%
CHN,China,Age Group,Q1. Age 18-35,Respondents aged 18-35,28.3,%
CHN,China,Age Group,Q1. Age 36-59,Respondents aged 36-59,44.1,%
CHN,China,Age Group,Q1. Age 60+,Respondents aged 60+,23.4,%
COM,Comoros,Age Group,Q1. Age 15-17,Respondents aged 15-17,9.88,%
COM,Comoros,Age Group,Q1. Age 18-35,Respondents aged 18-35,45.31,%
COM,Comoros,Age Group,Q1. Age 36-59,Respondents aged 36-59,34.03,%
COM,Comoros,Age Group,Q1. Age 60+,Respondents aged 60+,10.78,%
DEU,Germany,Age Group,Q1. Age 15-17,Respondents aged 15-17,3.09,%
DEU,Germany,Age Group,Q1. Age 18-35,Respondents aged 18-35,23.87,%
DEU,Germany,Age Group,Q1. Age 36-59,Respondents aged 36-59,37.96,%
DEU,Germany,Age Group,Q1. Age 60+,Respondents aged 60+,35.07,%
EGY,Egypt,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.95,%
EGY,Egypt,Age Group,Q1. Age 18-35,Respondents aged 18-35,43.79,%
EGY,Egypt,Age Group,Q1. Age 36-59,Respondents aged 36-59,38.84,%
EGY,Egypt,Age Group,Q1. Age 60+,Respondents aged 60+,11.43,%
FJI,Fiji,Age Group,Q1. Age 15-17,Respondents aged 15-17,7.4,%
FJI,Fiji,Age Group,Q1. Age 18-35,Respondents aged 18-35,39.5,%
FJI,Fiji,Age Group,Q1. Age 36-59,Respondents aged 36-59,38.9,%
FJI,Fiji,Age Group,Q1. Age 60+,Respondents aged 60+,14.2,%
GRC,Greece,Age Group,Q1. Age 15-17,Respondents aged 15-17,3.54,%
GRC,Greece,Age Group,Q1. Age 18-35,Respondents aged 18-35,21.26,%
GRC,Greece,Age Group,Q1. Age 36-59,Respondents aged 36-59,40.16,%
GRC,Greece,Age Group,Q1. Age 60+,Respondents aged 60+,35.04,%
IDN,Indonesia,Age Group,Q1. Age 15-17,Respondents aged 15-17,6.6,%
IDN,Indonesia,Age Group,Q1. Age 18-35,Respondents aged 18-35,37,%
IDN,Indonesia,Age Group,Q1. Age 36-59,Respondents aged 36-59,41.5,%
IDN,Indonesia,Age Group,Q1. Age 60+,Respondents aged 60+,14.9,%
IND,India,Age Group,Q1. Age 15-17,Respondents aged 15-17,7.1,%
IND,India,Age Group,Q1. Age 18-35,Respondents aged 18-35,41.3,%
IND,India,Age Group,Q1. Age 36-59,Respondents aged 36-59,37.6,%
IND,India,Age Group,Q1. Age 60+,Respondents aged 60+,14,%
JPN,Japan,Age Group,Q1. Age 15-17,Respondents aged 15-17,3.1,%
JPN,Japan,Age Group,Q1. Age 18-35,Respondents aged 18-35,19.9,%
JPN,Japan,Age Group,Q1. Age 36-59,Respondents aged 36-59,36.6,%
JPN,Japan,Age Group,Q1. Age 60+,Respondents aged 60+,40.4,%
KGZ,Kyrgyzstan,Age Group,Q1. Age 15-17,Respondents aged 15-17,7.68,%
KGZ,Kyrgyzstan,Age Group,Q1. Age 18-35,Respondents aged 18-35,41.12,%
KGZ,Kyrgyzstan,Age Group,Q1. Age 36-59,Respondents aged 36-59,37.62,%
KGZ,Kyrgyzstan,Age Group,Q1. Age 60+,Respondents aged 60+,13.57,%
KOR,Republic of Korea,Age Group,Q1. Age 15-17,Respondents aged 15-17,2.9,%
KOR,Republic of Korea,Age Group,Q1. Age 18-35,Respondents aged 18-35,25.4,%
KOR,Republic of Korea,Age Group,Q1. Age 36-59,Respondents aged 36-59,41.9,%
KOR,Republic of Korea,Age Group,Q1. Age 60+,Respondents aged 60+,29.8,%
NGA,Nigeria,Age Group,Q1. Age 15-17,Respondents aged 15-17,11.81,%
NGA,Nigeria,Age Group,Q1. Age 18-35,Respondents aged 18-35,48.75,%
NGA,Nigeria,Age Group,Q1. Age 36-59,Respondents aged 36-59,31.23,%
NGA,Nigeria,Age Group,Q1. Age 60+,Respondents aged 60+,8.21,%
PAK,Pakistan,Age Group,Q1. Age 15-17,Respondents aged 15-17,10.35,%
PAK,Pakistan,Age Group,Q1. Age 18-35,Respondents aged 18-35,47.06,%
PAK,Pakistan,Age Group,Q1. Age 36-59,Respondents aged 36-59,32.04,%
PAK,Pakistan,Age Group,Q1. Age 60+,Respondents aged 60+,10.55,%
RUS,Russian Federation,Age Group,Q1. Age 15-17,Respondents aged 15-17,0,%
RUS,Russian Federation,Age Group,Q1. Age 18-35,Respondents aged 18-35,26,%
RUS,Russian Federation,Age Group,Q1. Age 36-59,Respondents aged 36-59,43.5,%
RUS,Russian Federation,Age Group,Q1. Age 60+,Respondents aged 60+,30.5,%
TUN,Tunisia,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.99,%
TUN,Tunisia,Age Group,Q1. Age 18-35,Respondents aged 18-35,31.78,%
TUN,Tunisia,Age Group,Q1. Age 36-59,Respondents aged 36-59,43.62,%
TUN,Tunisia,Age Group,Q1. Age 60+,Respondents aged 60+,18.61,%
