<<<<<<< HEAD
﻿Country ISO,Country,Section,Question,Description,Value,Unit
=======
Country ISO,Country,Section,Question,Description,Value,Unit
>>>>>>> eaced438a04fb8c347968476a007b6ed0efca7bf
AUS,Australia,Mean Age,Q1. Mean Age,Mean age of survey respondents,48.6645393371582,years
BGD,Bangladesh,Mean Age,Q1. Mean Age,Mean age of survey respondents,35.4538955688477,years
BRA,Brazil,Mean Age,Q1. Mean Age,Mean age of survey respondents,42.8580894470215,years
CHN,China,Mean Age,Q1. Mean Age,Mean age of survey respondents,43.6826782226562,years
COM,Comoros,Mean Age,Q1. Mean Age,Mean age of survey respondents,36.2722015380859,years
DEU,Germany,Mean Age,Q1. Mean Age,Mean age of survey respondents,48.8474044799805,years
EGY,Egypt,Mean Age,Q1. Mean Age,Mean age of survey respondents,37.352424621582,years
FJI,Fiji,Mean Age,Q1. Mean Age,Mean age of survey respondents,39.9846649169922,years
GRC,Greece,Mean Age,Q1. Mean Age,Mean age of survey respondents,47.8183174133301,years
IDN,Indonesia,Mean Age,Q1. Mean Age,Mean age of survey respondents,39.6504936218262,years
IND,India,Mean Age,Q1. Mean Age,Mean age of survey respondents,37.3665313720703,years
JPN,Japan,Mean Age,Q1. Mean Age,Mean age of survey respondents,49.6509819030762,years
KGZ,Kyrgyzstan,Mean Age,Q1. Mean Age,Mean age of survey respondents,38.3842735290527,years
KOR,Republic of Korea,Mean Age,Q1. Mean Age,Mean age of survey respondents,45.8126945495605,years
NGA,Nigeria,Mean Age,Q1. Mean Age,Mean age of survey respondents,32.7339477539062,years
PAK,Pakistan,Mean Age,Q1. Mean Age,Mean age of survey respondents,35.7775001525879,years
RUS,Russian Federation,Mean Age,Q1. Mean Age,Mean age of survey respondents,47.4576568603516,years
TUN,Tunisia,Mean Age,Q1. Mean Age,Mean age of survey respondents,41.0113906860352,years
TUR,Türkiye,Mean Age,Q1. Mean Age,Mean age of survey respondents,40.2699775695801,years
USA,United States of America,Mean Age,Q1. Mean Age,Mean age of survey respondents,46.0061225891113,years
ZAF,South Africa,Mean Age,Q1. Mean Age,Mean age of survey respondents,36.6871948242187,years
AUS,Australia,Age Group,Q1. Age 15-17,Respondents aged 15-17,0,%
BGD,Bangladesh,Age Group,Q1. Age 15-17,Respondents aged 15-17,8.49,%
BRA,Brazil,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.25,%
CHN,China,Age Group,Q1. Age 15-17,Respondents aged 15-17,4.2,%
